YEAR,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bailiwick of Guernsey,Bailiwick of Jersey,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,eSwatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern and Antarctic Lands,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Republic of Congo,Reunion,Romania,Russia,Rwanda,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Saint-Barthelemy,Saint-Martin,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Minor Outlying Islands,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,"Virgin Islands, U.S.",Wallis and Futuna,Yemen,Zambia,Zimbabwe,Total g�n�ral
1997,,,,3579,,,5258,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,4142,,6,,,,,131,207,,,,,,,,,,,,,,2291,,0,,,,,171,,0,100,,0,84,,,,,,,,,4,1,,,5,,,,,,,,0,0,,,,,,,,,,,,,,,18,,,,,489,,,,,,,,7,2,9,,,,0,0,,,3,,,,3,,,,,,,,,,8,0,,0,,,,,,,121,472,,,,,,,,,,,,,,,,,,,,,41,,,,2942,,,,,,,,,,,,463,,,40,,,,,,49,99,,,,,,5110,,,,,,,26,,4,,,,0,,,,,932,,,,,,,,,,,,,,,1,2,26820
1998,,,,1269,,,50810,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,4,1238,,8,,,,,46,85,,,,,,,,,,,,,,3376,,3,,,,,27,,6,1298,,2,958,,,,,,,,,0,0,,,4,,,,,,,,86,567,,,,,,,,,,,,,,,14,,,,,615,,,,,,,,96,102,2,,,,0,0,,,11,,,,0,,,,,,,,,,10,0,,0,,,,,,,169,1272,,,,,,,,,,,,,,,,,,,,,121,,,,2948,,,,,,,,,,,,220,,,0,,,,,,4,100,,,,,,4046,,,,,,,20,,3,,,,0,,,,,1161,,,,,,,,,,,,,,,1,10,70713
1999,,,,369,,,73725,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,3,1718,,1,,,,,20,180,,,,,,,,,,,,,,7040,,14,,,,,8,,0,52057,,0,18839,,,,,,,,,4,0,,,0,,,,,,,,453,229,,,,,,,,,,,,,,,5,,,,,339,,,,,,,,50,529,0,,,,0,0,,,120,,,,0,,,,,,,,,,0,0,,71,,,,,,,10,1796,,,,,,,,,,,,,,,,,,,,,29,,,,81,,,,,,,,,,,,83,,,113,,,,,,110,87,,,,,,2439,,,,,,,13,,4,,,,4,,,,,1287,,,,,,,,,,,,,,,4,6,161840
2000,,,,1389,,,3957,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,1,3891,,16,,,,,9,560,,,,,,,,,,,,,,1680,,0,,,,,77,,0,193,,1,1413,,,,,,,,,0,18,,,34,,,,,,,,1345,14,,,,,,,,,,,,,,,260,,,,,449,,,,,,,,0,43,52,,,,1,4,,,8,,,,1,,,,,,,,,,0,2,,153,,,,,,,0,3345,,,,,,,,,,,,,,,,,,,,,96,,,,181,,,,,,,,,,,,85,,,0,,,,,,33,59,,,,,,3116,,,,,,,63,,1,,,,0,,,,,1242,,,,,,,,,,,,,,,3,44,23840
2001,,,,945,,,9113,,,,,,,,,,,,,,,,,,,4,,,,,0,,,,,,0,3917,,4,,,,,52,133,,,,,,,,,,,,,,2379,,0,,,,,4,,0,6,,1,890,,,,,,,,,0,7,,,144,,,,,,,,701,13,,,,,,,,,,,,,,,17,,,,,639,,,,,,,,0,55,0,,,,2,8,,,15,,,,0,,,,,,,,,,0,0,,13,,,,,,,4,2183,,,,,,,,,,,,,,,,,,,,,0,,,,952,,,,,,,,,,,,114,,,5,,,,,,72,17,,,,,,4277,,,,,,,139,,0,,,,0,,,,,129,,,,,,,,,,,,,,,2,37,26993
2002,,,,1007,,,275,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,106,2136,,4,,,,,539,499,,,,,,,,,,,,,,6077,,2,,,,,24,,0,1,,0,4197,,,,,,,,,0,1,,,38,,,,,,,,14,0,,,,,,,,,,,,,,,300,,,,,426,,,,,,,,9,36,0,,,,38,1,,,5,,,,1,,,,,,,,,,0,0,,8,,,,,,,76,1141,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,43,,,2,,,,,,83,28,,,,,,9329,,,,,,,180,,0,,,,22,,,,,1861,,,,,,,,,,,,,,,0,54,28565
2003,,,,630,,,6,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,1,1630,,4,,,,,84,155,,,,,,,,,,,,,,3405,,0,,,,,0,,1,24,,1,800,,,,,,,,,0,0,,,7,,,,,,,,2,3,,,,,,,,,,,,,,,1201,,,,,173,,,,,,,,1,324,0,,,,1,0,,,26,,,,26,,,,,,,,,,43,0,,4,,,,,,,0,956,,,,,,,,,,,,,,,,,,,,,23,,,,3,,,,,,,,,,,,9,,,0,,,,,,764,16,,,,,,8159,,,,,,,3,,2,,,,0,,,,,2839,,,,,,,,,,,,,,,14,6,21346
2004,,,,262,,,33,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,13,513,,10,,,,,80,442,,,,,,,,,,,,,,400,,0,,,,,28,,12,56,,0,1001,,,,,,,,,8,1,,,3,,,,,,,,5,7,,,,,,,,,,,,,,,494,,,,,184,,,,,,,,0,19,0,,,,1,2,,,0,,,,0,,,,,,,,,,2,3,,0,,,,,,,12,2398,,,,,,,,,,,,,,,,,,,,,10,,,,26,,,,,,,,,,,,0,,,3,,,,,,926,35,,,,,,11451,,,,,,,17,,2,,,,0,,,,,1415,,,,,,,,,,,,,,,6,2,19884
2005,,,,254,,,3,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,587,,50,,,,,73,515,,,,,,,,,,,,,,565,,0,,,,,104,,0,165,,0,1283,,,,,,,,,0,57,,,2,,,,,,,,9,5,,,,,,,,,,,,,,,226,,,,,353,,,,,,,,0,16,1,,,,3,0,,,15,,,,26,,,,,,,,,,3,12,,0,,,,,,,1,105,,,,,,,,,,,,,,,,,,,,,15,,,,4,,,,,,,,,,,,2,,,0,,,,,,563,6,,,,,,1886,,,,,,,17,,94,,,,0,,,,,1092,,,,,,,,,,,,,,,0,8,8120
2006,,,,382,,,13,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,16,174,,31,,,,,291,1905,,,,,,,,,,,,,,412,,0,,,,,24,,0,2,,0,366,,,,,,,,,1,0,,,3,,,,,,,,14,61,,,,,,,,,,,,,,,56,,,,,304,,,,,,,,2,0,18,,,,1,0,,,4,,,,0,,,,,,,,,,2,2,,0,,,,,,,0,126,,,,,,,,,,,,,,,,,,,,,1,,,,16,,,,,,,,,,,,206,,,0,,,,,,1166,17,,,,,,1662,,,,,,,12,,0,,,,2,,,,,723,,,,,,,,,,,,,,,24,1,8040
