Year,Africa (UN),Asia (UN),Europe (UN),Latin America (UN),Northern America (UN)
1950,10878554,57064430,12167798,7304860,4059308
1951,11138514,57272264,12066148,7491622,4181791
1952,11398576,61583050,12050251,7677255,4292000
1953,11669182,61026708,11993506,7866050,4361148
1954,11924006,63291210,12043686,8056712,4493019
1955,12185523,64332876,12070477,8246046,4523811
1956,12452577,63763680,12059533,8443877,4641052
1957,12725154,67363190,12143271,8637209,4738995
1958,12997768,65466370,12134428,8826017,4802704
1959,13271430,62243710,12222241,9021964,4815505
1960,13574664,62137840,12182189,9214037,4835995
1961,13890988,60313340,12060953,9397352,4840684
1962,14224917,71286750,11763196,9592873,4724185
1963,14549409,78726900,11670822,9771375,4636255
1964,14873520,76051990,11455846,9904925,4564324
1965,15200798,76794890,11101917,10002701,4299402
1966,15573967,76055130,10961779,10080125,4120509
1967,15945665,75394984,10971322,10153578,4004235
1968,16330533,80032744,10777483,10235618,3983163
1969,16733078,79891420,10670281,10347179,4107007
1970,17149970,81210590,10564868,10469245,4252364
1971,17599818,80314130,10642399,10597976,4069268
1972,18030480,80022130,10518436,10716866,3756438
1973,18462562,79808490,10327331,10838502,3636824
1974,18959740,78226180,10443501,10933630,3661143
1975,19476174,76064500,10306751,11050709,3659392
1976,19987208,75728600,10272948,11182987,3687640
1977,20493576,74472690,10197999,11313399,3845637
1978,21016840,75209180,10154627,11429467,3870984
1979,21600688,77233384,10160164,11530095,4015212
1980,22153362,78908616,10195384,11615805,4109854
1981,22677100,80628240,10087308,11720650,4126020
1982,23258568,83312660,10145460,11829890,4176179
1983,23852382,81377520,10201846,11903542,4140982
1984,24307372,83360750,10104767,11943528,4157396
1985,24811278,84852410,10007297,11983059,4218432
1986,25251254,87191670,10118419,12027805,4207075
1987,25715324,88785360,10069799,12006374,4258729
1988,26172014,88023380,9917070,11994576,4359835
1989,26590804,89064560,9574965,12003492,4488525
1990,26988120,90014730,9338614,11999210,4577247
1991,27451826,84847610,8949893,11992908,4523174
1992,27889412,83184690,8553024,11958844,4454302
1993,28346968,82282280,8106493,11979477,4364745
1994,28708448,81717290,7905413,11962497,4296547
1995,29327240,81107570,7695071,11939205,4227492
1996,29829716,80266910,7600873,11873140,4193867
1997,30300012,79627340,7499053,11839594,4159869
1998,30826048,79063384,7414230,11797968,4195019
1999,31510804,78786060,7267157,11713220,4212814
2000,32158304,79826536,7307709,11603539,4288161
2001,32815218,79003560,7248344,11471965,4265692
2002,33443532,78452900,7317803,11343362,4256465
2003,34164896,77962056,7461368,11202884,4319824
2004,34946956,77983530,7580448,11132206,4353504
2005,35809370,77710870,7562328,11069698,4399943
2006,36596956,78032650,7708811,10967924,4535742
2007,37359280,78518800,7906664,10894513,4601611
2008,38223064,79234200,8200935,10868054,4562952
2009,38935470,79820120,8227461,10843675,4471020
2010,39685492,79595720,8236451,10799683,4358462
2011,40356070,79627260,8102069,10790123,4323035
2012,41002060,81133570,8181389,10721093,4327062
2013,41586184,79733360,8013442,10678003,4315054
2014,42195588,79331656,8037361,10648345,4371886
2015,42660670,78112184,7957497,10542289,4368227
2016,42958896,78603860,7933467,10322871,4337858
2017,43403064,77407240,7605380,10238395,4251818
2018,43626296,74269650,7371056,10172142,4191756
2019,43965812,72705330,7127099,9957406,4146437
2020,44373656,69047896,6947411,9660792,4005657
2021,44892536,67363900,6903632,9541936,4052371
2022,45469230,66247784,6520637,9437516,4106409
2023,46063890,65645040,6337695,9354810,4015559
