Entity,Code,Year,Fertility
Africa (UN),,1950,6.516
Africa (UN),,1951,6.53
Africa (UN),,1952,6.541
Africa (UN),,1953,6.558
Africa (UN),,1954,6.569
Africa (UN),,1955,6.581
Africa (UN),,1956,6.594
Africa (UN),,1957,6.606
Africa (UN),,1958,6.617
Africa (UN),,1959,6.631
Africa (UN),,1960,6.645
Africa (UN),,1961,6.658
Africa (UN),,1962,6.673
Africa (UN),,1963,6.679
Africa (UN),,1964,6.68
Africa (UN),,1965,6.676
Africa (UN),,1966,6.687
Africa (UN),,1967,6.691
Africa (UN),,1968,6.691
Africa (UN),,1969,6.687
Africa (UN),,1970,6.688
Africa (UN),,1971,6.692
Africa (UN),,1972,6.693
Africa (UN),,1973,6.689
Africa (UN),,1974,6.688
Africa (UN),,1975,6.686
Africa (UN),,1976,6.676
Africa (UN),,1977,6.663
Africa (UN),,1978,6.647
Africa (UN),,1979,6.62
Africa (UN),,1980,6.589
Africa (UN),,1981,6.548
Africa (UN),,1982,6.509
Africa (UN),,1983,6.46
Africa (UN),,1984,6.394
Africa (UN),,1985,6.322
Africa (UN),,1986,6.244
Africa (UN),,1987,6.169
Africa (UN),,1988,6.092
Africa (UN),,1989,6.004
Africa (UN),,1990,5.909
Africa (UN),,1991,5.827
Africa (UN),,1992,5.747
Africa (UN),,1993,5.663
Africa (UN),,1994,5.589
Africa (UN),,1995,5.508
Africa (UN),,1996,5.429
Africa (UN),,1997,5.353
Africa (UN),,1998,5.296
Africa (UN),,1999,5.248
Africa (UN),,2000,5.203
Africa (UN),,2001,5.16
Africa (UN),,2002,5.115
Africa (UN),,2003,5.082
Africa (UN),,2004,5.059
Africa (UN),,2005,5.04
Africa (UN),,2006,5.013
Africa (UN),,2007,4.985
Africa (UN),,2008,4.968
Africa (UN),,2009,4.927
Africa (UN),,2010,4.891
Africa (UN),,2011,4.842
Africa (UN),,2012,4.796
Africa (UN),,2013,4.74
Africa (UN),,2014,4.686
Africa (UN),,2015,4.625
Africa (UN),,2016,4.545
Africa (UN),,2017,4.482
Africa (UN),,2018,4.391
Africa (UN),,2019,4.312
Africa (UN),,2020,4.242
Africa (UN),,2021,4.179
Africa (UN),,2022,4.125
Africa (UN),,2023,4.072
Asia (UN),,1950,5.694
Asia (UN),,1951,5.609
Asia (UN),,1952,5.926
Asia (UN),,1953,5.757
Asia (UN),,1954,5.863
Asia (UN),,1955,5.85
Asia (UN),,1956,5.691
Asia (UN),,1957,5.913
Asia (UN),,1958,5.646
Asia (UN),,1959,5.274
Asia (UN),,1960,5.183
Asia (UN),,1961,4.951
Asia (UN),,1962,5.789
Asia (UN),,1963,6.313
Asia (UN),,1964,5.994
Asia (UN),,1965,5.948
Asia (UN),,1966,5.774
Asia (UN),,1967,5.595
Asia (UN),,1968,5.815
Asia (UN),,1969,5.654
Asia (UN),,1970,5.591
Asia (UN),,1971,5.352
Asia (UN),,1972,5.164
Asia (UN),,1973,4.978
Asia (UN),,1974,4.716
Asia (UN),,1975,4.43
Asia (UN),,1976,4.263
Asia (UN),,1977,4.058
Asia (UN),,1978,3.966
Asia (UN),,1979,3.945
Asia (UN),,1980,3.908
Asia (UN),,1981,3.871
Asia (UN),,1982,3.88
Asia (UN),,1983,3.671
Asia (UN),,1984,3.642
Asia (UN),,1985,3.591
Asia (UN),,1986,3.58
Asia (UN),,1987,3.543
Asia (UN),,1988,3.412
Asia (UN),,1989,3.36
Asia (UN),,1990,3.314
Asia (UN),,1991,3.048
Asia (UN),,1992,2.936
Asia (UN),,1993,2.86
Asia (UN),,1994,2.802
Asia (UN),,1995,2.748
Asia (UN),,1996,2.693
Asia (UN),,1997,2.649
Asia (UN),,1998,2.607
Asia (UN),,1999,2.575
Asia (UN),,2000,2.584
Asia (UN),,2001,2.532
Asia (UN),,2002,2.49
Asia (UN),,2003,2.451
Asia (UN),,2004,2.428
Asia (UN),,2005,2.397
Asia (UN),,2006,2.381
Asia (UN),,2007,2.367
Asia (UN),,2008,2.361
Asia (UN),,2009,2.353
Asia (UN),,2010,2.323
Asia (UN),,2011,2.303
Asia (UN),,2012,2.331
Asia (UN),,2013,2.281
Asia (UN),,2014,2.265
Asia (UN),,2015,2.227
Asia (UN),,2016,2.241
Asia (UN),,2017,2.206
Asia (UN),,2018,2.118
Asia (UN),,2019,2.075
Asia (UN),,2020,1.973
Asia (UN),,2021,1.927
Asia (UN),,2022,1.896
Asia (UN),,2023,1.881
Europe (UN),,1950,2.7
Europe (UN),,1951,2.66
Europe (UN),,1952,2.645
Europe (UN),,1953,2.622
Europe (UN),,1954,2.626
Europe (UN),,1955,2.624
Europe (UN),,1956,2.61
Europe (UN),,1957,2.614
Europe (UN),,1958,2.597
Europe (UN),,1959,2.603
Europe (UN),,1960,2.592
Europe (UN),,1961,2.57
Europe (UN),,1962,2.519
Europe (UN),,1963,2.517
Europe (UN),,1964,2.493
