STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,month,Month,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AD,Andorra,2005,,69,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AD,Andorra,2010,,69,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AL,Albania,2005,,3092,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AL,Albania,2015,,2742,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AL,Albania,2020,,2316,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AL,Albania,2023,,1991,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AM,Armenia,2005,,3319,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AM,Armenia,2015,,3444,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AM,Armenia,2020,,2751,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AM,Armenia,2023,,3275,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,1980,,7481,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,1985,,7546,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,1990,,7612,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,1995,,7603,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2000,,6587,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2005,,6482,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2010,,6414,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2015,,6985,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2020,,6932,,,,,
dataflow,ESTAT:DEMO_FMONTH(1.0),Live births (total) by month,A,Annual,NR,Number,M01,January,AT,Austria,2023,,6487,,,,,
