Entity,Code,Year,Emigrants from Ukraine: Where did they move to?
Africa,,1990,4903
Africa,,1995,5020
Africa,,2000,5161
Africa,,2005,4954
Africa,,2010,4619
Africa,,2015,1908
Africa,,2020,3934
Africa,,2024,3498
Asia,,1990,728404
Asia,,1995,598327
Asia,,2000,479754
Asia,,2005,447053
Asia,,2010,412533
Asia,,2015,414624
Asia,,2020,434494
Asia,,2024,493476
Europe,,1990,4543901
Europe,,1995,4606294
Europe,,2000,4648698
Europe,,2005,4534465
Europe,,2010,4338981
Europe,,2015,3776620
Europe,,2020,3419418
Europe,,2024,8707148
North America,,1990,225880
North America,,1995,271876
North America,,2000,324687
North America,,2005,389856
North America,,2010,398941
North America,,2015,425937
North America,,2020,469887
North America,,2024,534580
Oceania,,1990,18384
Oceania,,1995,18034
Oceania,,2000,17881
Oceania,,2005,17940
Oceania,,2010,17626
Oceania,,2015,18699
Oceania,,2020,19291
Oceania,,2024,22988
South America,,1990,7518
South America,,1995,7979
South America,,2000,7409
South America,,2005,7027
South America,,2010,6524
South America,,2015,6223
South America,,2020,6007
South America,,2024,7526
